symbol_raw,ticker,asset_type,source_file
AMDD,AMDD,ETF,core_etfs.csv
AMDL,AMDL,ETF,core_etfs.csv
AMZD,AMZD,ETF,core_etfs.csv
ARKK,ARKK,ETF,core_etfs.csv
BIL,BIL,ETF,core_etfs.csv
BITC,BITC,ETF,core_etfs.csv
BITO,BITO,ETF,core_etfs.csv
BITX,BITX,ETF,core_etfs.csv
BMNG,BMNG,ETF,core_etfs.csv
BMNU,BMNU,ETF,core_etfs.csv
BOIL,BOIL,ETF,core_etfs.csv
CONL,CONL,ETF,core_etfs.csv
CRCC,CRCC,ETF,core_etfs.csv
CRWG,CRWG,ETF,core_etfs.csv
DAMD,DAMD,ETF,core_etfs.csv
DRAM,DRAM,ETF,core_etfs.csv
DRIP,DRIP,ETF,core_etfs.csv
EEM,EEM,ETF,core_etfs.csv
EFA,EFA,ETF,core_etfs.csv
EMB,EMB,ETF,core_etfs.csv
ETHA,ETHA,ETF,core_etfs.csv
EWY,EWY,ETF,core_etfs.csv
EWZ,EWZ,ETF,core_etfs.csv
FNGU,FNGU,ETF,core_etfs.csv
FXI,FXI,ETF,core_etfs.csv
GDX,GDX,ETF,core_etfs.csv
GGLS,GGLS,ETF,core_etfs.csv
HYG,HYG,ETF,core_etfs.csv
IBIT,IBIT,ETF,core_etfs.csv
IEFA,IEFA,ETF,core_etfs.csv
IEMG,IEMG,ETF,core_etfs.csv
IGV,IGV,ETF,core_etfs.csv
IONZ,IONZ,ETF,core_etfs.csv
IWM,IWM,ETF,core_etfs.csv
JAAA,JAAA,ETF,core_etfs.csv
KRE,KRE,ETF,core_etfs.csv
KWEB,KWEB,ETF,core_etfs.csv
LQD,LQD,ETF,core_etfs.csv
MSFU,MSFU,ETF,core_etfs.csv
MSOS,MSOS,ETF,core_etfs.csv
MSTU,MSTU,ETF,core_etfs.csv
MSTZ,MSTZ,ETF,core_etfs.csv
NOWL,NOWL,ETF,core_etfs.csv
NVD,NVD,ETF,core_etfs.csv
NVDL,NVDL,ETF,core_etfs.csv
NVDX,NVDX,ETF,core_etfs.csv
OKLL,OKLL,ETF,core_etfs.csv
PLTD,PLTD,ETF,core_etfs.csv
PSQ,PSQ,ETF,core_etfs.csv
QID,QID,ETF,core_etfs.csv
QQQ,QQQ,ETF,core_etfs.csv
QQQI,QQQI,ETF,core_etfs.csv
RSP,RSP,ETF,core_etfs.csv
RWM,RWM,ETF,core_etfs.csv
SCHB,SCHB,ETF,core_etfs.csv
SCHD,SCHD,ETF,core_etfs.csv
SCHF,SCHF,ETF,core_etfs.csv
SCHG,SCHG,ETF,core_etfs.csv
SCHX,SCHX,ETF,core_etfs.csv
SCO,SCO,ETF,core_etfs.csv
SGOV,SGOV,ETF,core_etfs.csv
SH,SH,ETF,core_etfs.csv
SLV,SLV,ETF,core_etfs.csv
SMCL,SMCL,ETF,core_etfs.csv
SMH,SMH,ETF,core_etfs.csv
SNXX,SNXX,ETF,core_etfs.csv
SOXL,SOXL,ETF,core_etfs.csv
SOXS,SOXS,ETF,core_etfs.csv
SOXX,SOXX,ETF,core_etfs.csv
